"Year","avg_oil_co2","avg_co2"
1995,85.1258661590909,202.230285047414
1996,87.6655318090909,208.270536797414
1997,88.9714610772727,209.505026107759
1998,89.8496988227273,208.735004400862
1999,91.9311560272727,213.210244547414
2000,93.6553690727273,219.427777077586
2001,94.4606270409091,221.276278659483
2002,93.9897210678733,226.560667831897
2003,96.6484565520362,238.375831512931
2004,99.9321686334842,246.868060672414
2005,100.809042316742,255.298295297414
2006,101.776665597285,263.733765409483
2007,102.114618475113,271.610251706897
2008,101.821946434389,276.602037284483
2009,99.5198975248869,272.103712905172
2010,102.804368524887,287.623676676724
2011,103.059597352941,297.301824306034
2012,104.449838361991,301.778168801724
2013,105.216705565611,304.475876081897
2014,105.690336171946,306.702885969828
2015,107.960776135747,306.539359771552
2016,108.812970828054,306.243044948276
2017,110.793012986425,311.17878687069
2018,111.004672262443,317.469884487069
2019,111.725369891403,319.6772325
2020,101.283335298643,304.000739094828
2021,107.123611932127,320.033192706897
