"Year","avg_co2","global_pop","per_capita","avg_oil_co2","avg_coal_co2","avg_gas_co2","avg_cement_co2","avg_flaring_co2","avg_other"
1995,202.230285047414,5.71,4.4517019004329,85.1258661590909,80.3103451689498,38.4471926164384,5.87209919339623,2.23684984474886,9.51233285106383
1996,208.270536797414,5.79,4.49652252380952,87.6655318090909,82.3360153150685,40.1460450639269,5.99351282075472,2.25730553424658,9.44258914893617
1997,209.505026107759,5.87,4.5167733982684,88.9714610772727,81.8953409908676,40.2966005479452,6.238042,2.29035402739726,9.51823374468085
1998,208.735004400862,5.95,4.25410967965368,89.8496988227273,79.6893586255708,40.9541125707763,6.21331381603774,2.1940861369863,9.38169563829787
1999,213.210244547414,6.03,4.28812936363636,91.9311560272727,80.8692895844749,42.2082427077626,6.51896691509434,2.12555486757991,9.32819859574468
2000,219.427777077586,6.11,4.64326278354978,93.6553690727273,84.0467360913242,43.2081372739726,6.84291295734597,2.54729196803653,9.20285631914894
2001,221.276278659483,6.19,4.68843307792208,94.4606270409091,84.5228931278539,43.594382196347,7.11633644811321,2.56737915525114,9.06714995744681
2002,226.560667831897,6.27,4.71062586580087,93.9897210678733,87.9905376090909,44.5986694590909,7.47467116431925,2.71412578636364,9.18102965957447
2003,238.375831512931,6.35,4.84681503896104,96.6484565520362,95.62239675,46.1951646454545,8.04011973113207,2.72159560909091,9.37795921276596
2004,246.868060672414,6.43,4.94208800865801,99.9321686334842,98.8325848545455,47.7926368772727,8.59024830660377,2.94365948636364,9.83179346808511
2005,255.298295297414,6.51,4.96913478787879,100.809042316742,104.939407972727,48.9151411,9.09722737264151,3.13722027272727,10.2894617659574
2006,263.733765409483,6.59,5.02630045021645,101.776665597285,110.807638881818,50.0619018318182,9.92140303773585,3.15327401818182,10.7496551276596
2007,271.610251706897,6.67,5.08385061471861,102.114618475113,116.148729513636,51.7648527727273,10.6546169009434,3.30895749545455,11.0321315106383
2008,276.602037284483,6.76,5.06452754545455,101.821946434389,119.934514936364,53.3117384818182,10.7393273568075,3.40067416363636,11.0472699787234
2009,272.103712905172,6.84,4.81913364935065,99.5198975248869,118.331163604545,52.2904909681818,10.9370197488372,3.44910840909091,10.3646156170213
2010,287.623676676724,6.92,4.89919931168831,102.804368524887,126.605644740909,56.3213068909091,11.5656966820276,3.46954982272727,10.4668309148936
2011,297.301824306034,7,4.90259225974026,103.059597352941,133.973870872727,57.8809291090909,12.3269361506849,3.3661805,11.6944149574468
2012,301.778168801724,7.09,4.90921658008658,104.449838361991,135.661449127273,59.0963070636364,12.6444800913242,3.45773809545455,11.756829893617
2013,304.475876081897,7.18,4.77910993506493,105.216705565611,136.586236622727,59.4775187545455,13.1880004018265,3.52304893636364,12.5157933191489
2014,306.702885969828,7.26,4.76810474891775,105.690336171946,136.831934281818,60.4959579681818,13.6978289634703,3.52638097272727,12.9732042340426
2015,306.539359771552,7.35,4.71837173160173,107.960776135747,133.728067890909,61.7097624136364,13.1911951415525,3.48666994545455,12.8837905106383
2016,306.243044948276,7.43,4.63800534199134,108.812970828054,130.550956790909,63.3968090181818,13.6478605550459,3.43986506363636,12.770371787234
2017,311.17878687069,7.52,4.65843786147186,110.793012986425,131.881580036364,64.9538920909091,13.8341576743119,3.56356523636364,12.8635765106383
2018,317.469884487069,7.6,4.62432143290043,111.004672262443,134.062097168182,68.4531526045455,14.3964989908257,3.74650677727273,12.8714342553191
2019,319.6772325,7.68,4.55210492640693,111.725369891403,133.872527509091,69.5229838272727,14.8395118073394,3.99321810454545,13.0484498723404
2020,304.000739094828,7.76,4.24490291774892,101.283335298643,128.859672809091,68.6935480318182,15.0232801146789,3.70530610909091,12.6085823829787
2021,320.033192706897,7.84,4.39693273160173,107.123611932127,136.178164377273,72.0166315636364,15.4155979078341,3.78659601363636,12.6019467234043
